"P back","Points:0","Points:1","Points:2"
0.5762988779689845,0.5,0,0
0.5763420514038363,0.499849408864975,0.01227061450481415,0
0.5764696835260894,0.4993977248668671,0.02453383803367615,0
0.5766816114894201,0.4986452162265778,0.03678228333592415,0
0.5769776901621566,0.4975923597812653,0.0490085706114769,0
0.5773578128015417,0.4962397813796997,0.06120533868670464,0
0.5778219117633284,0.4945882558822632,0.0733652338385582,0
0.5783699367998855,0.4926388263702393,0.0854809433221817,0
0.5790018200953857,0.4903926253318787,0.09754516184329987,0
0.5797174443969917,0.4878510534763336,0.1095506176352501,0
0.580516629024686,0.4850156307220459,0.121490091085434,0
0.5813991387457023,0.4818880259990692,0.1333563774824142,0
0.5823647080737192,0.4784701764583588,0.1451423317193985,0
0.583413065544085,0.4747640788555145,0.1568408757448196,0
0.5845439434406926,0.4707720279693604,0.1684449315071106,0
0.5857570675329634,0.4664964079856873,0.1799475252628326,0
0.5870521331472153,0.4619397521018982,0.1913417130708694,0
0.588428781511244,0.45710489153862,0.202620655298233,0
0.5898865895335182,0.4519946575164795,0.2137775421142578,0
0.5914250778181334,0.446612149477005,0.2248056679964066,0
0.5930437309486164,0.4409606456756592,0.2356983721256256,0
0.5947420172451031,0.4350434839725494,0.2464490979909897,0
0.5965193960718583,0.4288643002510071,0.2570513784885406,0
0.5983753084548642,0.4224267899990082,0.2674988210201263,0
0.6003091564894454,0.4157347977161407,0.2777851223945618,0
0.6023202830769661,0.4087924063205719,0.2879040837287903,0
0.6044079626691179,0.4016037583351135,0.2978496551513672,0
0.6065714068246709,0.3941732048988342,0.3076157867908478,0
0.6088097798077678,0.3865052163600922,0.3171966373920441,0
0.611122214178718,0.3786044120788574,0.3265864253044128,0
0.6135078170982123,0.370475560426712,0.3357794880867004,0
0.6159656639877094,0.3621235489845276,0.3447702825069427,0
0.6184947835276255,0.3535533845424652,0.3535533845424652,0
0.6210941424795848,0.3447702825069427,0.3621235489845276,0
0.6237626382107657,0.3357794880867004,0.370475560426712,0
0.6264991018774779,0.3265864253044128,0.3786044120788574,0
0.6293023091520695,0.3171966373920441,0.3865052163600922,0
0.6321709916304086,0.3076157867908478,0.3941732048988342,0
0.6351038424726136,0.2978496551513672,0.4016037583351135,0
0.6380995137039007,0.2879040837287903,0.4087924063205719,0
0.6411566074365509,0.2777851223945618,0.4157347977161407,0
0.6442736662975701,0.2674988210201263,0.4224267899990082,0
0.6474491681514141,0.2570513784885406,0.4288643002510071,0
0.6506815273281429,0.2464490979909897,0.4350434839725494,0
0.6539691009208569,0.2356983721256256,0.4409606456756592,0
0.6573101963669445,0.2248056679964066,0.446612149477005,0
0.6607030765126791,0.2137775421142578,0.4519946575164795,0
0.6641459602963632,0.202620655298233,0.45710489153862,0
0.6676370197360284,0.1913417130708694,0.4619397521018982,0
0.6711743756460054,0.1799475252628326,0.4664964079856873,0
0.6747560947111426,0.1684449315071106,0.4707720279693604,0
0.6783801894435365,0.1568408757448196,0.4747640788555145,0
0.6820446209719406,0.1451423317193985,0.4784701764583588,0
0.6857473034329593,0.1333563774824142,0.4818880259990692,0
0.6894861083749462,0.121490091085434,0.4850156307220459,0
0.6932588679604461,0.1095506176352501,0.4878510534763336,0
0.6970633764847991,0.09754516184329987,0.4903926253318787,0
0.7008973904233727,0.0854809433221817,0.4926388263702393,0
0.7047586276923159,0.0733652338385582,0.4945882558822632,0
0.7086447670239818,0.06120533868670464,0.4962397813796997,0
0.7125534483350004,0.0490085706114769,0.4975923597812653,0
0.7164822746955591,0.03678228333592415,0.4986452162265778,0
0.7204288159609186,0.02453383803367615,0.4993977248668671,0
0.7243906134396678,0.01227061450481415,0.499849408864975,0
0.7283651844170177,3.06161713146292e-17,0.5,0
0.7323500252734416,-0.01227061450481415,0.499849408864975,0
0.7363426125121542,-0.02453383803367615,0.4993977248668671,0
0.740340402051913,-0.03678228333592415,0.4986452162265778,0
0.7443408281498672,-0.0490085706114769,0.4975923597812653,0
0.7483413036897841,-0.06120533868670464,0.4962397813796997,0
0.7523392229983814,-0.0733652338385582,0.4945882558822632,0
0.7563319670564137,-0.0854809433221817,0.4926388263702393,0
0.7603169096237219,-0.09754516184329987,0.4903926253318787,0
0.7642914221944939,-0.1095506176352501,0.4878510534763336,0
0.7682528762415292,-0.121490091085434,0.4850156307220459,0
0.7721986426763476,-0.1333563774824142,0.4818880259990692,0
0.7761260900348893,-0.1451423317193985,0.4784701764583588,0
0.7800325836906973,-0.1568408757448196,0.4747640788555145,0
0.7839154878956343,-0.1684449315071106,0.4707720279693604,0
0.7877721708874968,-0.1799475252628326,0.4664964079856873,0
0.7916000115568081,-0.1913417130708694,0.4619397521018982,0
0.7953964052349112,-0.202620655298233,0.45710489153862,0
0.7991587666130163,-0.2137775421142578,0.4519946575164795,0
0.8028845294084572,-0.2248056679964066,0.446612149477005,0
0.8065711442331909,-0.2356983721256256,0.4409606456756592,0
0.8102160771554932,-0.2464490979909897,0.4350434839725494,0
0.8138168110523435,-0.2570513784885406,0.4288643002510071,0
0.817370850248166,-0.2674988210201263,0.4224267899990082,0
0.8208757270440215,-0.2777851223945618,0.4157347977161407,0
0.8243290076367723,-0.2879040837287903,0.4087924063205719,0
0.8277282952634883,-0.2978496551513672,0.4016037583351135,0
0.8310712299899223,-0.3076157867908478,0.3941732048988342,0
0.8343554864478601,-0.3171966373920441,0.3865052163600922,0
0.8375787719967969,-0.3265864253044128,0.3786044120788574,0
0.8407388274822089,-0.3357794880867004,0.370475560426712,0
0.843833431247467,-0.3447702825069427,0.3621235489845276,0
