"values","Points:0","Points:1","Points:2"
0,0.5,0,0
0,0.4903926253318787,0.09754516184329987,0
0,0.4619397521018982,0.1913417130708694,0
0,0.4157347977161407,0.2777851223945618,0
0,0.3535533845424652,0.3535533845424652,0
0,0.2777851223945618,0.4157347977161407,0
0,0.1913417130708694,0.4619397521018982,0
0,0.09754516184329987,0.4903926253318787,0
0,3.06161713146292e-17,0.5,0
0,-0.09754516184329987,0.4903926253318787,0
0,-0.1913417130708694,0.4619397521018982,0
0,-0.2777851223945618,0.4157347977161407,0
0,-0.3535533845424652,0.3535533845424652,0
0,-0.4157347977161407,0.2777851223945618,0
0,-0.4619397521018982,0.1913417130708694,0
0,-0.4903926253318787,0.09754516184329987,0
0,-0.5,6.123234262925839e-17,0
0,-0.4903926253318787,-0.09754516184329987,0
0,-0.4619397521018982,-0.1913417130708694,0
0,-0.4157347977161407,-0.2777851223945618,0
0,-0.3535533845424652,-0.3535533845424652,0
0,-0.2777851223945618,-0.4157347977161407,0
0,-0.1913417130708694,-0.4619397521018982,0
0,-0.09754516184329987,-0.4903926253318787,0
0,-9.184850732644269e-17,-0.5,0
0,0.09754516184329987,-0.4903926253318787,0
0,0.1913417130708694,-0.4619397521018982,0
0,0.2777851223945618,-0.4157347977161407,0
0,0.3535533845424652,-0.3535533845424652,0
0,0.4157347977161407,-0.2777851223945618,0
0,0.4619397521018982,-0.1913417130708694,0
0,0.4903926253318787,-0.09754516184329987,0
0.03295601535947629,0.5981747508049011,0,0
0.07076154377520842,0.5866810083389282,0.1166981086134911,0
0.1870036874814528,0.5526414513587952,0.2289115786552429,0
0.3712008466936073,0.4973641335964203,0.3323281109333038,0
0.5510612065249006,0.4229734241962433,0.4229734241962433,0
0.6332127989087317,0.3323281109333038,0.4973641335964203,0
0.6132223377123708,0.2289115786552429,0.5526414513587952,0
0.5437283907017422,0.1166981086134911,0.5866810083389282,0
0.4634532689456076,3.662764024190932e-17,0.5981747508049011,0
0.3890370346824605,-0.1166981086134911,0.5866810083389282,0
0.3256175022056663,-0.2289115786552429,0.5526414513587952,0
0.2739076860774798,-0.3323281109333038,0.4973641335964203,0
0.2332461979000527,-0.4229734241962433,0.4229734241962433,0
0.2027155302501098,-0.4973641335964203,0.3323281109333038,0
0.1815064482466327,-0.5526414513587952,0.2289115786552429,0
0.1690217161818361,-0.5866810083389282,0.1166981086134911,0
0.1649003124010841,-0.5981747508049011,7.325528048381864e-17,0
0.1690217161818361,-0.5866810083389282,-0.1166981086134911,0
0.1815064482466325,-0.5526414513587952,-0.2289115786552429,0
0.2027155302501096,-0.4973641335964203,-0.3323281109333038,0
0.2332461979000524,-0.4229734241962433,-0.4229734241962433,0
0.2739076860774797,-0.3323281109333038,-0.4973641335964203,0
0.325617502205666,-0.2289115786552429,-0.5526414513587952,0
0.3890370346824608,-0.1166981086134911,-0.5866810083389282,0
0.4634532689456076,-1.098829240344504e-16,-0.5981747508049011,0
0.5437283907017421,0.1166981086134911,-0.5866810083389282,0
0.6132223377123703,0.2289115786552429,-0.5526414513587952,0
0.6332127989087315,0.3323281109333038,-0.4973641335964203,0
0.5510612065249011,0.4229734241962433,-0.4229734241962433,0
0.3712008466936075,0.4973641335964203,-0.3323281109333038,0
0.1870036874814533,0.5526414513587952,-0.2289115786552429,0
0.07076154377520831,0.5866810083389282,-0.1166981086134911,0
0.09151853210724244,0.7156261205673218,0,0
0.1787600232565716,0.7018755674362183,0.1396117359399796,0
0.4157919314566969,0.6611523032188416,0.2738582491874695,0
0.7198024919207507,0.5950213670730591,0.3975805640220642,0
0.9494789701569053,0.5060240626335144,0.5060240626335144,0
1.023999349159702,0.3975805640220642,0.5950213670730591,0
0.9842024695893783,0.2738582491874695,0.6611523032188416,0
0.890375380326232,0.1396117359399796,0.7018755674362183,0
0.7806371739934306,4.381946281607811e-17,0.7156261205673218,0
0.6743713146725331,-0.1396117359399796,0.7018755674362183,0
0.5799613463670934,-0.2738582491874695,0.6611523032188416,0
0.5003850091273733,-0.3975805640220642,0.5950213670730591,0
0.4362582576147867,-0.5060240626335144,0.5060240626335144,0
0.3872787669313345,-0.5950213670730591,0.3975805640220642,0
0.3528704888224001,-0.6611523032188416,0.2738582491874695,0
0.3324809589751128,-0.7018755674362183,0.1396117359399796,0
