"U","Points:0","Points:1","Points:2"
0.01796732734129045,0.9858788847923279,0,0
0.01810452926804964,0.9855819344520569,0.02419467829167843,0
0.01851593952133417,0.984691321849823,0.04837478324770927,0
0.0192009717253882,0.9832075834274292,0.0725257471203804,0
0.02015864924173091,0.9811316132545471,0.09663302451372147,0
0.02138760604790365,0.9784646034240723,0.1206820979714394,0
0.02288608776743663,0.9752082228660583,0.1446584761142731,0
0.0246519526617941,0.9713643789291382,0.1685477197170258,0
0.02668267235636214,0.9669354557991028,0.1923354268074036,0
0.02897533204570016,0.961924135684967,0.2160072773694992,0
0.03152662990853055,0.956333339214325,0.2395490258932114,0
0.03433287546210525,0.9501664638519287,0.2629464566707611,0
0.03738998660168395,0.9434272646903992,0.2861855328083038,0
0.04069348509955965,0.9361197948455811,0.3092522025108337,0
0.044238490385814,0.928248405456543,0.3321325778961182,0
0.04801971148998657,0.9198178648948669,0.3548129200935364,0
0.05203143710045877,0.9108332991600037,0.37727952003479,0
0.05626752377898687,0.9013000726699829,0.3995188474655151,0
0.06072138246291173,0.8912239670753479,0.4215175211429596,0
0.06538596348769117,0.8806109428405762,0.4432623088359833,0
0.07025374046145309,0.869467556476593,0.4647400677204132,0
0.07531669342513286,0.8578003644943237,0.4859379231929779,0
0.08056629182466991,0.8456165194511414,0.5068430304527283,0
0.08599347790892276,0.8329232931137085,0.5274428725242615,0
0.09158865123720211,0.8197283148765564,0.5477249622344971,0
0.09734165503866167,0.806039571762085,0.5676771402359009,0
0.1032417651966178,0.791865348815918,0.5872873663902283,0
0.1092776826487692,0.7772141098976135,0.6065438389778137,0
0.1154375299839557,0.7620946764945984,0.625434935092926,0
0.1217088529744376,0.746516227722168,0.6439493298530579,0
0.1280786277282763,0.7304880619049072,0.6620757579803467,0
0.134533274057985,0.7140198945999146,0.6798034310340881,0
0.1410586755541366,0.6971216201782227,0.6971216201782227,0
0.1476402067283232,0.6798034310340881,0.7140198945999146,0
0.1542627674442667,0.6620757579803467,0.7304880619049072,0
0.1609108247026081,0.6439493298530579,0.746516227722168,0
0.1675684616829635,0.625434935092926,0.7620946764945984,0
0.1742194337856017,0.6065438389778137,0.7772141098976135,0
0.1808472312513983,0.5872873663902283,0.791865348815918,0
0.187435147791891,0.5676771402359009,0.806039571762085,0
0.1939663545170345,0.5477249622344971,0.8197283148765564,0
0.2004239783332048,0.5274428725242615,0.8329232931137085,0
0.2067911838789888,0.5068430304527283,0.8456165194511414,0
0.213051257989989,0.4859379231929779,0.8578003644943237,0
0.2191876956344715,0.4647400677204132,0.869467556476593,0
0.2251842862336883,0.4432623088359833,0.8806109428405762,0
0.2310251992813591,0.4215175211429596,0.8912239670753479,0
0.236695068203521,0.3995188474655151,0.9013000726699829,0
0.2421790714466108,0.37727952003479,0.9108332991600037,0
0.2474630098532104,0.3548129200935364,0.9198178648948669,0
0.252533379469715,0.3321325778961182,0.928248405456543,0
0.2573774390299319,0.3092522025108337,0.9361197948455811,0
0.2619832714771945,0.2861855328083038,0.9434272646903992,0
0.2663398389939786,0.2629464566707611,0.9501664638519287,0
0.2704370311421888,0.2395490258932114,0.956333339214325,0
0.2742657058304445,0.2160072773694992,0.961924135684967,0
0.277817722940276,0.1923354268074036,0.9669354557991028,0
0.281085970569556,0.1685477197170258,0.9713643789291382,0
0.2840643839295602,0.1446584761142731,0.9752082228660583,0
0.2867479570587798,0.1206820979714394,0.9784646034240723,0
0.2891327475612492,0.09663302451372147,0.9811316132545471,0
0.2912158746886733,0.0725257471203804,0.9832075834274292,0
0.2929955111090469,0.04837478324770927,0.984691321849823,0
0.2944708687731892,0.02419467829167843,0.9855819344520569,0
0.2956421793264968,6.036766757389956e-17,0.9858788847923279,0
0.2965106695179293,-0.02419467829167843,0.9855819344520569,0
0.297078532103512,-0.04837478324770927,0.984691321849823,0
0.2973488927317353,-0.0725257471203804,0.9832075834274292,0
0.2973257732885559,-0.09663302451372147,0.9811316132545471,0
0.297014052204029,-0.1206820979714394,0.9784646034240723,0
0.296419422174616,-0.1446584761142731,0.9752082228660583,0
0.2955483457665781,-0.1685477197170258,0.9713643789291382,0
0.2944080093285021,-0.1923354268074036,0.9669354557991028,0
0.293006275627862,-0.2160072773694992,0.961924135684967,0
0.2913516355884664,-0.2395490258932114,0.956333339214325,0
0.2894531595084884,-0.2629464566707611,0.9501664638519287,0
0.2873204480717008,-0.2861855328083038,0.9434272646903992,0
0.2849635834691716,-0.3092522025108337,0.9361197948455811,0
0.2823930809134835,-0.3321325778961182,0.928248405456543,0
0.2796198407846935,-0.3548129200935364,0.9198178648948669,0
0.2766551016405693,-0.37727952003479,0.9108332991600037,0
0.2735103942923928,-0.3995188474655151,0.9013000726699829,0
0.2701974971097889,-0.4215175211429596,0.8912239670753479,0
0.2667283927108264,-0.4432623088359833,0.8806109428405762,0
0.2631152261658389,-0.4647400677204132,0.869467556476593,0
0.2593702648059413,-0.4859379231929779,0.8578003644943237,0
0.2555058597316646,-0.5068430304527283,0.8456165194511414,0
0.2515344090779386,-0.5274428725242615,0.8329232931137085,0
0.2474683230816708,-0.5477249622344971,0.8197283148765564,0
0.2433199909812379,-0.5676771402359009,0.806039571762085,0
0.2391017497569262,-0.5872873663902283,0.791865348815918,0
0.2348258547127136,-0.6065438389778137,0.7772141098976135,0
0.2305044518852493,-0.625434935092926,0.7620946764945984,0
0.2261495522529563,-0.6439493298530579,0.746516227722168,0
0.2217730077105562,-0.6620757579803467,0.7304880619049072,0
0.217386488763028,-0.6798034310340881,0.7140198945999146,0
