"rho","rhoU","rhoV","E","U","V","P","Points:0","Points:1","Points:2"
0.3855417006507256,0,0,0.7758231280745829,0,0,0.3103292512298332,0.5,0,0
0.3854127342177062,0,0,0.7749319076771465,0,0,0.3099727630708586,0.4993977248668671,0.02453383803367615,0
0.3850690207070509,0,0,0.7724123092764218,0,0,0.3089649237105687,0.4975923597812653,0.0490085706114769,0
0.3846187553518131,0,0,0.7686756782625025,0,0,0.307470271305001,0.4945882558822632,0.0733652338385582,0
0.384178373532554,0,0,0.7642620970244549,0,0,0.305704838809782,0.4903926253318787,0.09754516184329987,0
0.383800471374632,0,0,0.7596930877798912,0,0,0.3038772351119565,0.4850156307220459,0.121490091085434,0
0.3834089412997652,0,0,0.7553541996913203,0,0,0.3021416798765282,0.4784701764583588,0.1451423317193985,0
0.3827645110488574,0,0,0.751433231366915,0,0,0.300573292546766,0.4707720279693604,0.1684449315071106,0
0.3814774343665193,0,0,0.7479088844818383,0,0,0.2991635537927353,0.4619397521018982,0.1913417130708694,0
0.3790741274410874,0,0,0.7445745993589292,0,0,0.2978298397435717,0.4519946575164795,0.2137775421142578,0
0.3751084834011063,0,0,0.7410858727438153,0,0,0.2964343490975261,0.4409606456756592,0.2356983721256256,0
0.3692922926852348,0,0,0.7370294307380283,0,0,0.2948117722952113,0.4288643002510071,0.2570513784885406,0
0.3616065092277226,0,0,0.7320075793224828,0,0,0.2928030317289931,0.4157347977161407,0.2777851223945618,0
0.3523536345605896,0,0,0.7257116666161088,0,0,0.2902846666464435,0.4016037583351135,0.2978496551513672,0
0.3421266611547131,0,0,0.7179509302784108,0,0,0.2871803721113643,0.3865052163600922,0.3171966373920441,0
0.3316963090131922,0,0,0.7086328441400903,0,0,0.2834531376560361,0.370475560426712,0.3357794880867004,0
0.3218417033371194,0,0,0.6977373300529767,0,0,0.2790949320211907,0.3535533845424652,0.3535533845424652,0
0.3131708440446482,0,0,0.6853425435925291,0,0,0.2741370174370116,0.3357794880867004,0.370475560426712,0
0.3060013578153615,0,0,0.6717200852588444,0,0,0.2686880341035378,0.3171966373920441,0.3865052163600922,0
0.3003968480846698,0,0,0.6575196147123961,0,0,0.2630078458849585,0.2978496551513672,0.4016037583351135,0
0.2964303604808317,0,0,0.6441395520208135,0,0,0.2576558208083254,0.2777851223945618,0.4157347977161407,0
0.2944885113173495,0,0,0.6339328425600156,0,0,0.2535731370240062,0.2570513784885406,0.4288643002510071,0
0.2952255944549432,0,0,0.6295524384046592,0,0,0.2518209753618637,0.2356983721256256,0.4409606456756592,0
0.2993044679028848,0,0,0.6332369509218536,0,0,0.2532947803687415,0.2137775421142578,0.4519946575164795,0
0.3073851538002794,0,0,0.6471176416984387,0,0,0.2588470566793755,0.1913417130708694,0.4619397521018982,0
0.3201725004284557,0,0,0.6734581440220251,0,0,0.26938325760881,0.1684449315071106,0.4707720279693604,0
0.3382119584294596,0,0,0.7140212319992361,0,0,0.2856084927996944,0.1451423317193985,0.4784701764583588,0
0.3616683729195313,0,0,0.7694688897211059,0,0,0.3077875558884424,0.121490091085434,0.4850156307220459,0
0.3903468638453372,0,0,0.8394700058362026,0,0,0.335788002334481,0.09754516184329987,0.4903926253318787,0
0.4238743769221779,0,0,0.9232117103845102,0,0,0.3692846841538041,0.0733652338385582,0.4945882558822632,0
0.4618594093759931,0,0,1.01982604736613,0,0,0.4079304189464519,0.0490085706114769,0.4975923597812653,0
0.5039638006917703,0,0,1.128576379966712,0,0,0.4514305519866849,0.02453383803367615,0.4993977248668671,0
0.5499107868187378,0,0,1.248875564617294,0,0,0.4995502258469176,3.06161713146292e-17,0.5,0
0.5994663995425916,0,0,1.380234241409175,0,0,0.5520936965636701,-0.02453383803367615,0.4993977248668671,0
0.6524159786712069,0,0,1.522195950867983,0,0,0.6088783803471933,-0.0490085706114769,0.4975923597812653,0
0.7085443051501275,0,0,1.674281406477775,0,0,0.6697125625911101,-0.0733652338385582,0.4945882558822632,0
0.7676213619340123,0,0,1.835947541262944,0,0,0.7343790165051778,-0.09754516184329987,0.4903926253318787,0
0.8293933578120027,0,0,2.006560788234515,0,0,0.802624315293806,-0.121490091085434,0.4850156307220459,0
0.8935780412611454,0,0,2.185382378709697,0,0,0.8741529514838788,-0.1451423317193985,0.4784701764583588,0
0.9598633198950711,0,0,2.371563288868718,0,0,0.9486253155474872,-0.1684449315071106,0.4707720279693604,0
1.027908339142844,0,0,2.564146705283573,0,0,1.025658682113429,-0.1913417130708694,0.4619397521018982,0
1.097346321651158,0,0,2.762076164293731,0,0,1.104830465717493,-0.2137775421142578,0.4519946575164795,0
1.167788596216911,0,0,2.964207774851483,0,0,1.185683109940593,-0.2356983721256256,0.4409606456756592,0
1.238829352266341,0,0,3.169325162265161,0,0,1.267730064906065,-0.2570513784885406,0.4288643002510071,0
1.310050748776565,0,0,3.376155984186079,0,0,1.350462393674432,-0.2777851223945618,0.4157347977161407,0
1.381028088296397,0,0,3.583389076289481,0,0,1.433355630515793,-0.2978496551513672,0.4016037583351135,0
1.451334839124405,0,0,3.789691481810381,0,0,1.515876592724153,-0.3171966373920441,0.3865052163600922,0
1.520547351530547,0,0,3.993724802381826,0,0,1.59748992095273,-0.3357794880867004,0.370475560426712,0
1.588249167098234,0,0,4.194160471591398,0,0,1.677664188636559,-0.3535533845424652,0.3535533845424652,0
1.654034863868419,0,0,4.389693694200031,0,0,1.755877477680013,-0.370475560426712,0.3357794880867004,0
1.717513414305789,0,0,4.579055910947034,0,0,1.831622364378814,-0.3865052163600922,0.3171966373920441,0
1.778311059175332,0,0,4.761025741691473,0,0,1.904410296676589,-0.4016037583351135,0.2978496551513672,0
1.836073719177723,0,0,4.934438430389426,0,0,1.973775372155771,-0.4157347977161407,0.2777851223945618,0
1.890468978876041,0,0,5.0981938657578,0,0,2.03927754630312,-0.4288643002510071,0.2570513784885406,0
1.941187685307083,0,0,5.25126328601163,0,0,2.100505314404652,-0.4409606456756592,0.2356983721256256,0
1.987945207664543,0,0,5.392694796247203,0,0,2.157077918498881,-0.4519946575164795,0.2137775421142578,0
2.030482405568004,0,0,5.521617837318078,0,0,2.208647134927231,-0.4619397521018982,0.1913417130708694,0
2.068566352521801,0,0,5.637246746566702,0,0,2.254898698626681,-0.4707720279693604,0.1684449315071106,0
2.101990858692844,0,0,5.738883546614946,0,0,2.295553418645978,-0.4784701764583588,0.1451423317193985,0
2.130576833675889,0,0,5.825920089986965,0,0,2.330368035994786,-0.4850156307220459,0.121490091085434,0
2.15417252581778,0,0,5.897839675465515,0,0,2.359135870186206,-0.4903926253318787,0.09754516184329987,0
2.172653670080438,0,0,5.954218239020726,0,0,2.381687295608291,-0.4945882558822632,0.0733652338385582,0
2.185923571725455,0,0,5.994725206959987,0,0,2.397890082783995,-0.4975923597812653,0.0490085706114769,0
2.193913148143999,0,0,6.019124083962958,0,0,2.407649633585184,-0.4993977248668671,0.02453383803367615,0
2.196580946287329,0,0,6.027272832444004,0,0,2.410909132977602,-0.5,6.123234262925839e-17,0
2.193913148143999,0,0,6.019124083962957,0,0,2.407649633585183,-0.4993977248668671,-0.02453383803367615,0
2.185923571725454,0,0,5.994725206959982,0,0,2.397890082783993,-0.4975923597812653,-0.0490085706114769,0
2.172653670080436,0,0,5.954218239020722,0,0,2.381687295608289,-0.4945882558822632,-0.0733652338385582,0
2.154172525817777,0,0,5.897839675465509,0,0,2.359135870186204,-0.4903926253318787,-0.09754516184329987,0
2.130576833675887,0,0,5.82592008998696,0,0,2.330368035994784,-0.4850156307220459,-0.121490091085434,0
2.101990858692839,0,0,5.738883546614938,0,0,2.295553418645975,-0.4784701764583588,-0.1451423317193985,0
2.068566352521796,0,0,5.63724674656669,0,0,2.254898698626676,-0.4707720279693604,-0.1684449315071106,0
2.030482405567999,0,0,5.521617837318065,0,0,2.208647134927226,-0.4619397521018982,-0.1913417130708694,0
1.987945207664539,0,0,5.392694796247189,0,0,2.157077918498876,-0.4519946575164795,-0.2137775421142578,0
1.94118768530708,0,0,5.251263286011617,0,0,2.100505314404647,-0.4409606456756592,-0.2356983721256256,0
1.890468978876038,0,0,5.098193865757784,0,0,2.039277546303114,-0.4288643002510071,-0.2570513784885406,0
1.83607371917772,0,0,4.93443843038941,0,0,1.973775372155764,-0.4157347977161407,-0.2777851223945618,0
1.778311059175329,0,0,4.761025741691459,0,0,1.904410296676583,-0.4016037583351135,-0.2978496551513672,0
1.717513414305786,0,0,4.579055910947022,0,0,1.831622364378809,-0.3865052163600922,-0.3171966373920441,0
1.654034863868416,0,0,4.389693694200018,0,0,1.755877477680007,-0.370475560426712,-0.3357794880867004,0
1.588249167098232,0,0,4.194160471591386,0,0,1.677664188636555,-0.3535533845424652,-0.3535533845424652,0
1.520547351530545,0,0,3.993724802381815,0,0,1.597489920952726,-0.3357794880867004,-0.370475560426712,0
1.451334839124403,0,0,3.789691481810372,0,0,1.515876592724149,-0.3171966373920441,-0.3865052163600922,0
1.381028088296395,0,0,3.583389076289475,0,0,1.43335563051579,-0.2978496551513672,-0.4016037583351135,0
1.310050748776563,0,0,3.376155984186075,0,0,1.35046239367443,-0.2777851223945618,-0.4157347977161407,0
1.23882935226634,0,0,3.169325162265158,0,0,1.267730064906063,-0.2570513784885406,-0.4288643002510071,0
1.16778859621691,0,0,2.964207774851479,0,0,1.185683109940592,-0.2356983721256256,-0.4409606456756592,0
1.097346321651157,0,0,2.762076164293732,0,0,1.104830465717493,-0.2137775421142578,-0.4519946575164795,0
1.027908339142844,0,0,2.564146705283572,0,0,1.025658682113429,-0.1913417130708694,-0.4619397521018982,0
0.9598633198950711,0,0,2.371563288868717,0,0,0.9486253155474869,-0.1684449315071106,-0.4707720279693604,0
0.8935780412611455,0,0,2.185382378709696,0,0,0.8741529514838784,-0.1451423317193985,-0.4784701764583588,0
0.8293933578120027,0,0,2.006560788234515,0,0,0.802624315293806,-0.121490091085434,-0.4850156307220459,0
0.7676213619340128,0,0,1.835947541262945,0,0,0.7343790165051782,-0.09754516184329987,-0.4903926253318787,0
0.7085443051501277,0,0,1.674281406477775,0,0,0.6697125625911102,-0.0733652338385582,-0.4945882558822632,0
0.6524159786712072,0,0,1.522195950867984,0,0,0.6088783803471938,-0.0490085706114769,-0.4975923597812653,0
0.5994663995425922,0,0,1.380234241409177,0,0,0.552093696563671,-0.02453383803367615,-0.4993977248668671,0
0.5499107868187383,0,0,1.248875564617296,0,0,0.4995502258469183,-9.184850732644269e-17,-0.5,0
