"values","Points:0","Points:1","Points:2"
0,0.5,0,0
0,0.4975923597812653,0.0490085706114769,0
0,0.4903926253318787,0.09754516184329987,0
0,0.4784701764583588,0.1451423317193985,0
0,0.4619397521018982,0.1913417130708694,0
0,0.4409606456756592,0.2356983721256256,0
0,0.4157347977161407,0.2777851223945618,0
0,0.3865052163600922,0.3171966373920441,0
0,0.3535533845424652,0.3535533845424652,0
0,0.3171966373920441,0.3865052163600922,0
0,0.2777851223945618,0.4157347977161407,0
0,0.2356983721256256,0.4409606456756592,0
0,0.1913417130708694,0.4619397521018982,0
0,0.1451423317193985,0.4784701764583588,0
0,0.09754516184329987,0.4903926253318787,0
0,0.0490085706114769,0.4975923597812653,0
0,3.06161713146292e-17,0.5,0
0,-0.0490085706114769,0.4975923597812653,0
0,-0.09754516184329987,0.4903926253318787,0
0,-0.1451423317193985,0.4784701764583588,0
0,-0.1913417130708694,0.4619397521018982,0
0,-0.2356983721256256,0.4409606456756592,0
0,-0.2777851223945618,0.4157347977161407,0
0,-0.3171966373920441,0.3865052163600922,0
0,-0.3535533845424652,0.3535533845424652,0
0,-0.3865052163600922,0.3171966373920441,0
0,-0.4157347977161407,0.2777851223945618,0
0,-0.4409606456756592,0.2356983721256256,0
0,-0.4619397521018982,0.1913417130708694,0
0,-0.4784701764583588,0.1451423317193985,0
0,-0.4903926253318787,0.09754516184329987,0
0,-0.4975923597812653,0.0490085706114769,0
0,-0.5,6.123234262925839e-17,0
0,-0.4975923597812653,-0.0490085706114769,0
0,-0.4903926253318787,-0.09754516184329987,0
0,-0.4784701764583588,-0.1451423317193985,0
0,-0.4619397521018982,-0.1913417130708694,0
0,-0.4409606456756592,-0.2356983721256256,0
0,-0.4157347977161407,-0.2777851223945618,0
0,-0.3865052163600922,-0.3171966373920441,0
0,-0.3535533845424652,-0.3535533845424652,0
0,-0.3171966373920441,-0.3865052163600922,0
0,-0.2777851223945618,-0.4157347977161407,0
0,-0.2356983721256256,-0.4409606456756592,0
0,-0.1913417130708694,-0.4619397521018982,0
0,-0.1451423317193985,-0.4784701764583588,0
0,-0.09754516184329987,-0.4903926253318787,0
0,-0.0490085706114769,-0.4975923597812653,0
0,-9.184850732644269e-17,-0.5,0
0,0.0490085706114769,-0.4975923597812653,0
0,0.09754516184329987,-0.4903926253318787,0
0,0.1451423317193985,-0.4784701764583588,0
0,0.1913417130708694,-0.4619397521018982,0
0,0.2356983721256256,-0.4409606456756592,0
0,0.2777851223945618,-0.4157347977161407,0
0,0.3171966373920441,-0.3865052163600922,0
0,0.3535533845424652,-0.3535533845424652,0
0,0.3865052163600922,-0.3171966373920441,0
0,0.4157347977161407,-0.2777851223945618,0
0,0.4409606456756592,-0.2356983721256256,0
0,0.4619397521018982,-0.1913417130708694,0
0,0.4784701764583588,-0.1451423317193985,0
0,0.4903926253318787,-0.09754516184329987,0
0,0.4975923597812653,-0.0490085706114769,0
0.004748031011819701,0.5490874052047729,0,0
0.005179147496055645,0.5464434027671814,0.05381997674703598,0
0.006501083320912793,0.5385368466377258,0.1071216315031052,0
0.008733424263959169,0.5254438519477844,0.1593916565179825,0
0.01191915984166058,0.5072906017303467,0.2101266384124756,0
0.01608002418144947,0.4842518270015717,0.2588379979133606,0
0.02121957512457421,0.4565494656562805,0.3050566017627716,0
0.02729349490418386,0.4244502782821655,0.3483373522758484,0
0.03419102760287911,0.3882634043693542,0.3882634043693542,0
0.04174274336123882,0.3483373522758484,0.4244502782821655,0
0.04969153793340358,0.3050566017627716,0.4565494656562805,0
0.05773813552852373,0.2588379979133606,0.4842518270015717,0
0.06552303979812746,0.2101266384124756,0.5072906017303467,0
0.07268322424501387,0.1593916565179825,0.5254438519477844,0
0.07886060472864338,0.1071216315031052,0.5385368466377258,0
0.08373763090279879,0.05381997674703598,0.5464434027671814,0
0.08706589652777261,3.362190412390803e-17,0.5490874052047729,0
0.08867101109797342,-0.05381997674703598,0.5464434027671814,0
0.08847863264252576,-0.1071216315031052,0.5385368466377258,0
0.08650205071025477,-0.1593916565179825,0.5254438519477844,0
0.08284930797980206,-0.2101266384124756,0.5072906017303467,0
0.07770790084497474,-0.2588379979133606,0.4842518270015717,0
0.07133403857619762,-0.3050566017627716,0.4565494656562805,0
0.06403825169656198,-0.3483373522758484,0.4244502782821655,0
0.05616683708621746,-0.3882634043693542,0.3882634043693542,0
0.04808683088723135,-0.4244502782821655,0.3483373522758484,0
0.04016801422680455,-0.4565494656562805,0.3050566017627716,0
0.03276695653310253,-0.4842518270015717,0.2588379979133606,0
0.02621324003973255,-0.5072906017303467,0.2101266384124756,0
0.02079451479310908,-0.5254438519477844,0.1593916565179825,0
0.01674767319602394,-0.5385368466377258,0.1071216315031052,0
0.01424733990999966,-0.5464434027671814,0.05381997674703598,0
0.01340197981640639,-0.5490874052047729,6.724380824781607e-17,0
0.01424734106378954,-0.5464434027671814,-0.05381997674703598,0
0.01674767558109424,-0.5385368466377258,-0.1071216315031052,0
0.02079451858916973,-0.5254438519477844,-0.1593916565179825,0
0.02621324543953785,-0.5072906017303467,-0.2101266384124756,0
0.03276696382139092,-0.4842518270015717,-0.2588379979133606,0
0.04016802357635404,-0.4565494656562805,-0.3050566017627716,0
0.04808684249157001,-0.4244502782821655,-0.3483373522758484,0
0.05616685084611799,-0.3882634043693542,-0.3882634043693542,0
0.06403826739791127,-0.3483373522758484,-0.4244502782821655,0
0.07133405545177963,-0.3050566017627716,-0.4565494656562805,0
0.07770791767566863,-0.2588379979133606,-0.4842518270015717,0
