"values","Points:0","Points:1","Points:2"
0,0.5,0,0
0,0.4975923597812653,0.0490085706114769,0
0,0.4903926253318787,0.09754516184329987,0
0,0.4784701764583588,0.1451423317193985,0
0,0.4619397521018982,0.1913417130708694,0
0,0.4409606456756592,0.2356983721256256,0
0,0.4157347977161407,0.2777851223945618,0
0,0.3865052163600922,0.3171966373920441,0
0,0.3535533845424652,0.3535533845424652,0
0,0.3171966373920441,0.3865052163600922,0
0,0.2777851223945618,0.4157347977161407,0
0,0.2356983721256256,0.4409606456756592,0
0,0.1913417130708694,0.4619397521018982,0
0,0.1451423317193985,0.4784701764583588,0
0,0.09754516184329987,0.4903926253318787,0
0,0.0490085706114769,0.4975923597812653,0
0,3.06161713146292e-17,0.5,0
0,-0.0490085706114769,0.4975923597812653,0
0,-0.09754516184329987,0.4903926253318787,0
0,-0.1451423317193985,0.4784701764583588,0
0,-0.1913417130708694,0.4619397521018982,0
0,-0.2356983721256256,0.4409606456756592,0
0,-0.2777851223945618,0.4157347977161407,0
0,-0.3171966373920441,0.3865052163600922,0
0,-0.3535533845424652,0.3535533845424652,0
0,-0.3865052163600922,0.3171966373920441,0
0,-0.4157347977161407,0.2777851223945618,0
0,-0.4409606456756592,0.2356983721256256,0
0,-0.4619397521018982,0.1913417130708694,0
0,-0.4784701764583588,0.1451423317193985,0
0,-0.4903926253318787,0.09754516184329987,0
0,-0.4975923597812653,0.0490085706114769,0
0,-0.5,6.123234262925839e-17,0
0,-0.4975923597812653,-0.0490085706114769,0
0,-0.4903926253318787,-0.09754516184329987,0
0,-0.4784701764583588,-0.1451423317193985,0
0,-0.4619397521018982,-0.1913417130708694,0
0,-0.4409606456756592,-0.2356983721256256,0
0,-0.4157347977161407,-0.2777851223945618,0
0,-0.3865052163600922,-0.3171966373920441,0
0,-0.3535533845424652,-0.3535533845424652,0
0,-0.3171966373920441,-0.3865052163600922,0
0,-0.2777851223945618,-0.4157347977161407,0
0,-0.2356983721256256,-0.4409606456756592,0
0,-0.1913417130708694,-0.4619397521018982,0
0,-0.1451423317193985,-0.4784701764583588,0
0,-0.09754516184329987,-0.4903926253318787,0
0,-0.0490085706114769,-0.4975923597812653,0
0,-9.184850732644269e-17,-0.5,0
0,0.0490085706114769,-0.4975923597812653,0
0,0.09754516184329987,-0.4903926253318787,0
0,0.1451423317193985,-0.4784701764583588,0
0,0.1913417130708694,-0.4619397521018982,0
0,0.2356983721256256,-0.4409606456756592,0
0,0.2777851223945618,-0.4157347977161407,0
0,0.3171966373920441,-0.3865052163600922,0
0,0.3535533845424652,-0.3535533845424652,0
0,0.3865052163600922,-0.3171966373920441,0
0,0.4157347977161407,-0.2777851223945618,0
0,0.4409606456756592,-0.2356983721256256,0
0,0.4619397521018982,-0.1913417130708694,0
0,0.4784701764583588,-0.1451423317193985,0
0,0.4903926253318787,-0.09754516184329987,0
0,0.4975923597812653,-0.0490085706114769,0
0.004697556148201801,0.5490874052047729,0,0
0.005610506956373844,0.5464434027671814,0.05381997674703598,0
0.008314041620040572,0.5385368466377258,0.1071216315031052,0
0.01272715490821897,0.5254438519477844,0.1593916565179825,0
0.01864615350065092,0.5072906017303467,0.2101266384124756,0
0.0258581731533432,0.4842518270015717,0.2588379979133606,0
0.03406814308941109,0.4565494656562805,0.3050566017627716,0
0.04296228844798306,0.4244502782821655,0.3483373522758484,0
0.05219882243385912,0.3882634043693542,0.3882634043693542,0
0.06141800229376067,0.3483373522758484,0.4244502782821655,0
0.07028231044360229,0.3050566017627716,0.4565494656562805,0
0.07844573891927624,0.2588379979133606,0.4842518270015717,0
0.08562350864799101,0.2101266384124756,0.5072906017303467,0
0.09153470380692036,0.1593916565179825,0.5254438519477844,0
0.09598635148376006,0.1071216315031052,0.5385368466377258,0
0.0988002582079168,0.05381997674703598,0.5464434027671814,0
0.09990122536232753,3.362190412390803e-17,0.5490874052047729,0
0.0992370329858878,-0.05381997674703598,0.5464434027671814,0
0.09686119308822728,-0.1071216315031052,0.5385368466377258,0
0.09285484943161297,-0.1593916565179825,0.5254438519477844,0
0.08739395625078632,-0.2101266384124756,0.5072906017303467,0
0.08068165132886645,-0.2588379979133606,0.4842518270015717,0
0.07299175870397098,-0.3050566017627716,0.4565494656562805,0
0.06461860762827241,-0.3483373522758484,0.4244502782821655,0
0.05589339909251227,-0.3882634043693542,0.3882634043693542,0
0.0471555279795559,-0.4244502782821655,0.3483373522758484,0
0.03874344182396904,-0.4565494656562805,0.3050566017627716,0
0.03098823807021914,-0.4842518270015717,0.2588379979133606,0
0.02418428006463253,-0.5072906017303467,0.2101266384124756,0
0.01860310856781595,-0.5254438519477844,0.1593916565179825,0
0.01445073780291163,-0.5385368466377258,0.1071216315031052,0
0.01189811108206861,-0.5464434027671814,0.05381997674703598,0
0.01103218038087966,-0.5490874052047729,6.724380824781607e-17,0
0.01189811101116228,-0.5464434027671814,-0.05381997674703598,0
0.01445073764698764,-0.5385368466377258,-0.1071216315031052,0
0.01860310829869245,-0.5254438519477844,-0.1593916565179825,0
0.02418427964053017,-0.5072906017303467,-0.2101266384124756,0
0.03098823743771405,-0.4842518270015717,-0.2588379979133606,0
0.03874344092422011,-0.4565494656562805,-0.3050566017627716,0
0.04715552675802883,-0.4244502782821655,-0.3483373522758484,0
0.05589339752266592,-0.3882634043693542,-0.3882634043693542,0
0.06461860573853441,-0.3483373522758484,-0.4244502782821655,0
0.07299175663436473,-0.3050566017627716,-0.4565494656562805,0
0.0806816493806517,-0.2588379979133606,-0.4842518270015717,0
